# time totalContactTime
1001.0000 0.8000
1002.0000 1.8000
1003.0000 2.8000
1004.0000 5.6000
1005.0000 10.6000
1006.0000 16.0000
1007.0000 21.6000
1008.0000 25.9000
1009.0000 29.9000
1010.0000 33.0000
1011.0000 34.3000
1012.0000 35.4000
1013.0000 36.4000
1014.0000 37.4000
1015.0000 38.7000
1016.0000 41.6000
1017.0000 46.5000
1018.0000 51.5000
1019.0000 54.7000
1020.0000 58.0000
1021.0000 60.2000
1022.0000 62.2000
1023.0000 64.1000
1024.0000 64.5000
1025.1000 65.6000
1026.2000 66.7000
1027.3000 67.8000
1028.4000 70.3000
1029.5000 73.6000
1030.6000 77.8000
1031.7000 81.4000
1032.8000 85.5000
1033.9000 89.8000
1035.0000 95.3000
1036.1000 101.3000
1037.2000 107.9000
1038.3000 114.9000
1039.4000 121.5000
1040.5000 127.9000
1041.6000 135.2000
1042.7000 140.7000
1043.8000 144.9000
1044.9000 148.4000
1046.0000 151.7000
1047.1000 155.8000
1048.2000 160.8000
1049.3000 166.2000
1050.4000 172.1000
1051.5000 177.4000
1052.6000 181.9000
1053.7000 186.4000
1054.8000 191.4000
1055.9000 198.0000
1057.0000 205.4000
1058.1000 212.9000
1059.2000 218.5000
1060.3000 224.7000
1061.4000 229.1000
1062.5000 233.5000
1063.6000 238.1000
1064.7000 242.2000
1065.8000 247.2000
1066.9000 252.6000
1068.0000 258.0000
1069.1000 263.5000
1070.2000 269.0000
1071.3000 276.0000
1072.4000 282.6000
1073.5000 289.4000
1074.6000 296.0000
1075.7000 300.4000
1076.8000 304.7000
1077.9000 307.6000
1079.0000 311.3000
1080.1000 316.4000
1081.2000 324.1000
1082.3000 331.9000
1083.4000 339.0000
1084.5000 344.7000
1085.6000 353.4000
1086.7000 360.3000
1087.8000 367.8000
1088.9000 374.6000
1090.0000 381.6000
1091.1000 389.2000
1092.2000 395.4000
1093.3000 400.6000
1094.4000 405.3000
1095.5000 410.8000
1096.6000 414.9000
1097.7000 417.6000
1098.8000 419.8000
1099.9000 422.4000
1101.0000 425.0000
1102.1000 427.2000
1103.2000 429.4000
1104.3000 431.7000
1105.4000 433.9000
1106.5000 436.1000
1107.6000 438.1000
1108.7000 438.5000
1116.4000 440.2000
1117.5000 443.3000
1118.6000 446.6000
1119.7000 449.6000
1120.8000 453.4000
1121.9000 456.7000
1123.0000 460.7000
1124.1000 464.3000
1125.2000 465.5000
1126.3000 467.3000
1127.4000 469.5000
1128.5000 471.7000
1129.6000 474.6000
1130.7000 478.3000
1131.8000 482.7000
1132.9000 487.0000
1134.0000 490.2000
1135.1000 492.4000
1136.2000 496.2000
1137.3000 500.5000
1138.4000 506.4000
1139.5000 514.4000
1140.6000 523.7000
1141.7000 532.2000
1142.8000 539.4000
1143.9000 544.8000
1145.0000 548.4000
1146.1000 551.1000
1147.2000 553.9000
1148.3000 556.8000
1149.4000 560.1000
1150.5000 563.1000
1151.6000 564.9000
1152.7000 566.7000
